vertices	color
mmu-miR-1982-5p	blue
mmu-miR-199a-5p	blue
mmu-miR-199b-5p	blue
mmu-miR-203b-3p	blue
mmu-miR-204-3p	blue
mmu-miR-207	blue
mmu-miR-210-3p	blue
mmu-miR-212-5p	blue
mmu-miR-214-3p	blue
mmu-miR-216a-3p	blue
mmu-miR-222-5p	blue
mmu-miR-224-3p	blue
mmu-miR-23a-5p	blue
mmu-miR-25-5p	blue
mmu-miR-2861	blue
mmu-miR-290b-3p	blue
mmu-miR-292a-3p	blue
mmu-miR-292a-5p	blue
mmu-miR-296-3p	blue
mmu-miR-296-5p	blue
mmu-miR-297c-5p	blue
mmu-miR-298-5p	blue
mmu-miR-300-5p	blue
mmu-miR-3057-3p	blue
mmu-miR-3057-5p	blue
mmu-miR-3058-5p	blue
mmu-miR-3059-5p	blue
mmu-miR-3064-5p	blue
mmu-miR-3065-3p	blue
mmu-miR-3067-5p	blue
mmu-miR-3069-5p	blue
mmu-miR-3070-5p	blue
mmu-miR-3072-3p	blue
mmu-miR-3072-5p	blue
mmu-miR-3073a-5p	blue
mmu-miR-3073b-3p	blue
mmu-miR-3074-5p	blue
mmu-miR-3076-3p	blue
mmu-miR-3076-5p	blue
mmu-miR-3077-3p	blue
mmu-miR-3077-5p	blue
mmu-miR-3078-3p	blue
mmu-miR-3081-5p	blue
mmu-miR-3082-3p	blue
mmu-miR-3083-3p	blue
mmu-miR-3085-3p	blue
mmu-miR-3085-5p	blue
mmu-miR-3087-5p	blue
mmu-miR-3089-3p	blue
mmu-miR-3089-5p	blue
mmu-miR-3090-3p	blue
mmu-miR-3090-5p	blue
mmu-miR-3091-3p	blue
mmu-miR-3091-5p	blue
mmu-miR-3093-3p	blue
mmu-miR-3093-5p	blue
mmu-miR-3097-5p	blue
mmu-miR-3098-3p	blue
mmu-miR-3099-5p	blue
mmu-miR-30b-3p	blue
mmu-miR-30c-2-3p	blue
mmu-miR-30d-3p	blue
mmu-miR-3100-3p	blue
mmu-miR-3100-5p	blue
mmu-miR-3102-3p	blue
mmu-miR-3102-5p	blue
mmu-miR-3102-5p.2-5p	blue
mmu-miR-3103-5p	blue
mmu-miR-3104-5p	blue
mmu-miR-3109-3p	blue
mmu-miR-3110-5p	blue
mmu-miR-3113-3p	blue
mmu-miR-3113-5p	blue
mmu-miR-3154	blue
mmu-miR-320-5p	blue
mmu-miR-324-3p	blue
mmu-miR-324-5p	blue
mmu-miR-326-3p	blue
mmu-miR-326-5p	blue
mmu-miR-328-3p	blue
mmu-miR-328-5p	blue
mmu-miR-330-5p	blue
mmu-miR-339-3p	blue
mmu-miR-339-5p	blue
mmu-miR-342-5p	blue
mmu-miR-344c-5p	blue
mmu-miR-344d-1-5p	blue
mmu-miR-344g-3p	blue
mmu-miR-345-5p	blue
mmu-miR-346-3p	blue
mmu-miR-3470a	blue
mmu-miR-3470b	blue
mmu-miR-3473a	blue
mmu-miR-3473b	blue
mmu-miR-3473c	blue
mmu-miR-3473d	blue
mmu-miR-3473e	blue
mmu-miR-3474	blue
mmu-miR-3475-3p	blue
mmu-miR-34a-5p	blue
mmu-miR-34b-5p	blue
mmu-miR-34c-5p	blue
mmu-miR-351-5p	blue
mmu-miR-3547-5p	blue
mmu-miR-3552	blue
mmu-miR-3569-5p	blue
mmu-miR-3572-3p	blue
mmu-miR-3572-5p	blue
mmu-miR-361-3p	blue
mmu-miR-3620-3p	blue
mmu-miR-3620-5p	blue
mmu-miR-365-1-5p	blue
mmu-miR-365-2-5p	blue
mmu-miR-370-3p	blue
mmu-miR-378a-5p	blue
mmu-miR-378d	blue
mmu-miR-383-3p	blue
mmu-miR-3968	blue
mmu-miR-3971	blue
mmu-miR-412-3p	blue
mmu-miR-423-5p	blue
mmu-miR-432	blue
mmu-miR-449b	blue
mmu-miR-451b	blue
mmu-miR-452-5p	blue
mmu-miR-453	blue
mmu-miR-466a-5p	blue
mmu-miR-466c-5p	blue
mmu-miR-466d-5p	blue
mmu-miR-466e-5p	blue
mmu-miR-466f-3p	blue
mmu-miR-466f-5p	blue
mmu-miR-466h-5p	blue
mmu-miR-466i-3p	blue
mmu-miR-466i-5p	blue
mmu-miR-466j	blue
mmu-miR-466k	blue
mmu-miR-466m-3p	blue
mmu-miR-466m-5p	blue
mmu-miR-466o-3p	blue
mmu-miR-466p-5p	blue
mmu-miR-467f	blue
mmu-miR-470-5p	blue
mmu-miR-484	blue
mmu-miR-486a-3p	blue
mmu-miR-486a-5p	blue
mmu-miR-486b-3p	blue
mmu-miR-486b-5p	blue
mmu-miR-490-3p	blue
mmu-miR-491-5p	blue
mmu-miR-493-3p	blue
mmu-miR-497a-5p	blue
mmu-miR-497b	blue
mmu-miR-500-5p	blue
mmu-miR-503-5p	blue
mmu-miR-504-3p	blue
mmu-miR-504-5p	blue
mmu-miR-505-5p	blue
mmu-miR-5098	blue
mmu-miR-5100	blue
mmu-miR-5107-3p	blue
mmu-miR-5107-5p	blue
mmu-miR-5110	blue
mmu-miR-5120	blue
mmu-miR-5124b	blue
mmu-miR-5127	blue
mmu-miR-5133	blue
mmu-miR-5134-5p	blue
mmu-miR-532-3p	blue
mmu-miR-540-3p	blue
mmu-miR-540-5p	blue
mmu-miR-5617-3p	blue
mmu-miR-5617-5p	blue
mmu-miR-5620-5p	blue
mmu-miR-5621-5p	blue
mmu-miR-5622-5p	blue
mmu-miR-5623-3p	blue
mmu-miR-5626-5p	blue
mmu-miR-5627-3p	blue
mmu-miR-5627-5p	blue
mmu-miR-5710	blue
mmu-miR-574-5p	blue
mmu-miR-615-5p	blue
mmu-miR-6236	blue
mmu-miR-6237	blue
mmu-miR-6240	blue
mmu-miR-6241	blue
mmu-miR-6244	blue
mmu-miR-6337	blue
mmu-miR-6340	blue
mmu-miR-6342	blue
mmu-miR-6345	blue
mmu-miR-6349	blue
mmu-miR-6357	blue
mmu-miR-6361	blue
mmu-miR-6362	blue
mmu-miR-6363	blue
mmu-miR-6367	blue
mmu-miR-6368	blue
mmu-miR-6369	blue
mmu-miR-6370	blue
mmu-miR-6372	blue
mmu-miR-6379	blue
mmu-miR-6381	blue
mmu-miR-6384	blue
mmu-miR-6391	blue
mmu-miR-6392-5p	blue
mmu-miR-6393	blue
mmu-miR-6394	blue
mmu-miR-6395	blue
mmu-miR-6396	blue
mmu-miR-6400	blue
mmu-miR-6405	blue
mmu-miR-6408	blue
mmu-miR-6418-5p	blue
mmu-miR-652-5p	blue
mmu-miR-665-3p	blue
mmu-miR-666-3p	blue
mmu-miR-667-5p	blue
mmu-miR-668-3p	blue
mmu-miR-669c-3p	blue
mmu-miR-669k-5p	blue
mmu-miR-669m-5p	blue
mmu-miR-670-5p	blue
mmu-miR-671-5p	blue
mmu-miR-6715-3p	blue
mmu-miR-673-3p	blue
mmu-miR-673-5p	blue
mmu-miR-674-5p	blue
mmu-miR-676-3p	blue
mmu-miR-6769b-3p	blue
mmu-miR-6769b-5p	blue
mmu-miR-677-3p	blue
mmu-miR-677-5p	blue
mmu-miR-679-5p	blue
mmu-miR-680	blue
mmu-miR-681	blue
mmu-miR-6896-3p	blue
mmu-miR-6897-5p	blue
mmu-miR-6901-5p	blue
mmu-miR-6902-3p	blue
mmu-miR-6904-5p	blue
mmu-miR-6905-5p	blue
mmu-miR-6907-5p	blue
mmu-miR-6909-3p	blue
mmu-miR-6909-5p	blue
mmu-miR-691	blue
mmu-miR-6910-3p	blue
mmu-miR-6910-5p	blue
mmu-miR-6911-5p	blue
mmu-miR-6912-3p	blue
mmu-miR-6912-5p	blue
mmu-miR-6913-3p	blue
mmu-miR-6913-5p	blue
mmu-miR-6914-5p	blue
mmu-miR-6915-3p	blue
mmu-miR-6915-5p	blue
mmu-miR-6916-5p	blue
mmu-miR-6917-3p	blue
mmu-miR-6917-5p	blue
mmu-miR-6918-3p	blue
mmu-miR-6918-5p	blue
mmu-miR-6919-3p	blue
mmu-miR-6919-5p	blue
mmu-miR-6920-3p	blue
mmu-miR-6921-5p	blue
mmu-miR-6922-3p	blue
mmu-miR-6922-5p	blue
mmu-miR-6923-3p	blue
mmu-miR-6923-5p	blue
mmu-miR-6925-5p	blue
mmu-miR-6926-5p	blue
mmu-miR-6927-3p	blue
mmu-miR-6929-3p	blue
mmu-miR-6929-5p	blue
mmu-miR-6930-3p	blue
mmu-miR-6930-5p	blue
mmu-miR-6931-5p	blue
mmu-miR-6932-3p	blue
mmu-miR-6933-5p	blue
mmu-miR-6934-3p	blue
mmu-miR-6934-5p	blue
mmu-miR-6935-5p	blue
mmu-miR-6936-5p	blue
mmu-miR-6937-3p	blue
mmu-miR-6939-5p	blue
mmu-miR-6940-5p	blue
mmu-miR-6941-5p	blue
mmu-miR-6942-5p	blue
mmu-miR-6943-5p	blue
mmu-miR-6944-5p	blue
mmu-miR-6945-3p	blue
mmu-miR-6945-5p	blue
mmu-miR-6947-3p	blue
mmu-miR-6947-5p	blue
mmu-miR-6948-3p	blue
mmu-miR-6950-5p	blue
mmu-miR-6952-3p	blue
mmu-miR-6952-5p	blue
mmu-miR-6953-5p	blue
mmu-miR-6954-5p	blue
mmu-miR-6955-5p	blue
mmu-miR-6956-3p	blue
mmu-miR-6958-3p	blue
mmu-miR-6958-5p	blue
mmu-miR-696	blue
mmu-miR-6960-3p	blue
mmu-miR-6960-5p	blue
mmu-miR-6961-3p	blue
mmu-miR-6963-3p	blue
mmu-miR-6963-5p	blue
mmu-miR-6965-3p	blue
mmu-miR-6965-5p	blue
mmu-miR-6968-5p	blue
mmu-miR-6971-3p	blue
mmu-miR-6971-5p	blue
mmu-miR-6972-3p	blue
mmu-miR-6972-5p	blue
mmu-miR-6973b-3p	blue
mmu-miR-6974-5p	blue
mmu-miR-6975-3p	blue
mmu-miR-6975-5p	blue
mmu-miR-6976-3p	blue
mmu-miR-6976-5p	blue
mmu-miR-6977-5p	blue
mmu-miR-6978-5p	blue
mmu-miR-6979-5p	blue
mmu-miR-698-5p	blue
mmu-miR-6980-5p	blue
mmu-miR-6981-5p	blue
mmu-miR-6982-3p	blue
mmu-miR-6982-5p	blue
mmu-miR-6984-5p	blue
mmu-miR-6985-3p	blue
mmu-miR-6985-5p	blue
mmu-miR-6987-5p	blue
mmu-miR-6988-5p	blue
mmu-miR-6989-5p	blue
mmu-miR-6990-3p	blue
mmu-miR-6990-5p	blue
mmu-miR-6991-3p	blue
mmu-miR-6991-5p	blue
mmu-miR-6992-3p	blue
mmu-miR-6992-5p	blue
mmu-miR-6993-5p	blue
mmu-miR-6994-5p	blue
mmu-miR-6995-5p	blue
mmu-miR-6996-3p	blue
mmu-miR-6997-5p	blue
mmu-miR-6998-5p	blue
mmu-miR-6999-5p	blue
mmu-miR-7000-3p	blue
mmu-miR-7000-5p	blue
mmu-miR-7001-5p	blue
mmu-miR-7003-3p	blue
mmu-miR-7004-3p	blue
mmu-miR-7004-5p	blue
mmu-miR-7005-3p	blue
mmu-miR-7005-5p	blue
mmu-miR-7006-5p	blue
mmu-miR-7007-5p	blue
mmu-miR-7008-5p	blue
mmu-miR-7009-5p	blue
mmu-miR-7010-5p	blue
mmu-miR-7011-5p	blue
mmu-miR-7012-3p	blue
mmu-miR-7012-5p	blue
mmu-miR-7014-5p	blue
mmu-miR-7015-5p	blue
mmu-miR-7016-3p	blue
mmu-miR-7016-5p	blue
mmu-miR-7017-3p	blue
mmu-miR-7018-3p	blue
mmu-miR-7018-5p	blue
mmu-miR-7019-3p	blue
mmu-miR-7019-5p	blue
mmu-miR-702-3p	blue
mmu-miR-702-5p	blue
mmu-miR-7020-3p	blue
mmu-miR-7020-5p	blue
mmu-miR-7022-3p	blue
mmu-miR-7023-3p	blue
mmu-miR-7023-5p	blue
mmu-miR-7024-5p	blue
mmu-miR-7025-5p	blue
mmu-miR-7026-5p	blue
mmu-miR-7027-5p	blue
mmu-miR-7028-3p	blue
mmu-miR-7028-5p	blue
mmu-miR-7029-3p	blue
mmu-miR-7029-5p	blue
mmu-miR-7030-5p	blue
mmu-miR-7031-3p	blue
mmu-miR-7031-5p	blue
mmu-miR-7032-3p	blue
mmu-miR-7032-5p	blue
mmu-miR-7033-3p	blue
mmu-miR-7033-5p	blue
mmu-miR-7034-5p	blue
mmu-miR-7035-3p	blue
mmu-miR-7035-5p	blue
mmu-miR-7036a-3p	blue
mmu-miR-7036a-5p	blue
mmu-miR-7036b-3p	blue
mmu-miR-7037-3p	blue
mmu-miR-7037-5p	blue
mmu-miR-7038-5p	blue
mmu-miR-7039-3p	blue
mmu-miR-7039-5p	blue
mmu-miR-7040-3p	blue
mmu-miR-7044-5p	blue
mmu-miR-7045-3p	blue
mmu-miR-7046-5p	blue
mmu-miR-7047-5p	blue
mmu-miR-7048-5p	blue
mmu-miR-7049-3p	blue
mmu-miR-7049-5p	blue
mmu-miR-705	blue
mmu-miR-7050-3p	blue
mmu-miR-7051-5p	blue
mmu-miR-7052-3p	blue
mmu-miR-7052-5p	blue
mmu-miR-7053-3p	blue
mmu-miR-7053-5p	blue
mmu-miR-7054-5p	blue
mmu-miR-7055-5p	blue
mmu-miR-7056-3p	blue
mmu-miR-7056-5p	blue
mmu-miR-7058-5p	blue
mmu-miR-7059-3p	blue
mmu-miR-706	blue
mmu-miR-7060-5p	blue
mmu-miR-7062-3p	blue
mmu-miR-7062-5p	blue
mmu-miR-7063-3p	blue
mmu-miR-7063-5p	blue
mmu-miR-7064-5p	blue
mmu-miR-7065-3p	blue
mmu-miR-7067-5p	blue
mmu-miR-7068-3p	blue
mmu-miR-7068-5p	blue
mmu-miR-7069-3p	blue
mmu-miR-7069-5p	blue
mmu-miR-707	blue
mmu-miR-7070-3p	blue
mmu-miR-7070-5p	blue
mmu-miR-7071-3p	blue
mmu-miR-7071-5p	blue
mmu-miR-7072-5p	blue
mmu-miR-7074-5p	blue
mmu-miR-7075-5p	blue
mmu-miR-7076-5p	blue
mmu-miR-7077-3p	blue
mmu-miR-7077-5p	blue
mmu-miR-7078-5p	blue
mmu-miR-708-5p	blue
mmu-miR-7080-3p	blue
mmu-miR-7080-5p	blue
mmu-miR-7081-3p	blue
mmu-miR-7081-5p	blue
mmu-miR-7082-3p	blue
mmu-miR-7082-5p	blue
mmu-miR-7083-3p	blue
mmu-miR-7083-5p	blue
mmu-miR-7085-3p	blue
mmu-miR-7085-5p	blue
mmu-miR-7087-3p	blue
mmu-miR-7087-5p	blue
mmu-miR-7088-5p	blue
mmu-miR-7089-3p	blue
mmu-miR-709	blue
mmu-miR-7090-5p	blue
mmu-miR-7094b-2-5p	blue
mmu-miR-7115-5p	blue
mmu-miR-7117-5p	blue
mmu-miR-7118-5p	blue
mmu-miR-7119-5p	blue
mmu-miR-717	blue
mmu-miR-719	blue
mmu-miR-7210-3p	blue
mmu-miR-7211-3p	blue
mmu-miR-7212-5p	blue
mmu-miR-7213-5p	blue
mmu-miR-7214-3p	blue
mmu-miR-7214-5p	blue
mmu-miR-7215-3p	blue
mmu-miR-7216-5p	blue
mmu-miR-7218-5p	blue
mmu-miR-7220-3p	blue
mmu-miR-7221-3p	blue
mmu-miR-7222-3p	blue
mmu-miR-7222-5p	blue
mmu-miR-7224-3p	blue
mmu-miR-7225-3p	blue
mmu-miR-7226-5p	blue
mmu-miR-7229-3p	blue
mmu-miR-7230-3p	blue
mmu-miR-7235-3p	blue
mmu-miR-7235-5p	blue
mmu-miR-7240-5p	blue
mmu-miR-7242-3p	blue
mmu-miR-7243-3p	blue
mmu-miR-742-3p	blue
mmu-miR-743a-3p	blue
mmu-miR-7578	blue
mmu-miR-760-3p	blue
mmu-miR-760-5p	blue
mmu-miR-761	blue
mmu-miR-762	blue
mmu-miR-763	blue
mmu-miR-7646-3p	blue
mmu-miR-7647-3p	blue
mmu-miR-7648-3p	blue
mmu-miR-7649-3p	blue
mmu-miR-7655-3p	blue
mmu-miR-7655-5p	blue
mmu-miR-7656-3p	blue
mmu-miR-7657-3p	blue
mmu-miR-7658-3p	blue
mmu-miR-7658-5p	blue
mmu-miR-7659-3p	blue
mmu-miR-7662-3p	blue
mmu-miR-7662-5p	blue
mmu-miR-7663-5p	blue
mmu-miR-7665-3p	blue
mmu-miR-7665-5p	blue
mmu-miR-7667-5p	blue
mmu-miR-7668-3p	blue
mmu-miR-7669-3p	blue
mmu-miR-7672-3p	blue
mmu-miR-7672-5p	blue
mmu-miR-7674-5p	blue
mmu-miR-7676-3p	blue
mmu-miR-7677-3p	blue
mmu-miR-7677-5p	blue
mmu-miR-7679-3p	blue
mmu-miR-7679-5p	blue
mmu-miR-7682-3p	blue
mmu-miR-7684-3p	blue
mmu-miR-7684-5p	blue
mmu-miR-7686-5p	blue
mmu-miR-7687-5p	blue
mmu-miR-7689-3p	blue
mmu-miR-7689-5p	blue
mmu-miR-770-5p	blue
mmu-miR-8090	blue
mmu-miR-8100	blue
mmu-miR-8101	blue
mmu-miR-8103	blue
mmu-miR-8104	blue
mmu-miR-8108	blue
mmu-miR-8113	blue
mmu-miR-8116	blue
mmu-miR-8119	blue
mmu-miR-873a-5p	blue
mmu-miR-874-3p	blue
mmu-miR-874-5p	blue
mmu-miR-880-3p	blue
mmu-miR-882	blue
mmu-miR-92a-2-5p	blue
mmu-miR-92b-5p	blue
mmu-miR-935	blue
mmu-miR-9718	blue
mmu-miR-9769-5p	blue
mmu-miR-99b-3p	blue
chr10:13783638-13784227:+	red
chr11:109802125-109803671:-	green
chr11:109836303-109839187:-	green
chr11:120673634-120675333:+	red
chr11:21163201-21164874:+	green
chr11:3541213-3541634:-	red
chr11:53100354-53102666:-	green
chr11:8418201-8419573:-	red
chr11:84917069-84917522:-	green
chr12:3237284-3238112:+	red
chr12:8704896-8707028:+	green
chr13:107700279-107700896:-	green
chr13:11856594-11857075:-	red
chr13:120183417-120185783:-	green
chr13:17837239-17838457:-	red
chr13:37990280-37991656:+	green
chr13:58960529-58962916:+	red
chr14:52799149-52801358:-	green
chr14:70634946-70636410:-	green
chr15:58172167-58174125:+	green
chr15:85222067-85223936:+	green
chr16:33434711-33435060:+	green
chr16:33457036-33457561:+	green
chr16:46436466-46438181:-	green
chr17:34869115-34871152:-	red
chr17:88407933-88410716:-	green
chr18:39286486-39286587:+	green
chr18:45751659-45752078:+	green
chr18:54055184-54055608:+	green
chr18:6061844-6064419:-	green
chr18:74129544-74131111:-	green
chr18:82849983-82851679:-	green
chr19:17669029-17670268:-	red
chr19:37162027-37163077:-	green
chr19:57453038-57453665:+	green
chr1:153323269-153325755:-	green
chr1:165793882-165795668:+	red
chr1:75014073-75015486:-	green
chr2:129636223-129636973:+	green
chr2:135733234-135735980:+	green
chr2:158208239-158208899:+	red
chr2:169709025-169711959:+	red
chr2:18031408-18033046:+	green
chr2:18043871-18045439:+	green
chr3:106334054-106336420:-	green
chr3:122450806-122451395:+	red
chr3:95795366-95796201:-	green
chr4:141966371-141967531:-	green
chr4:151204526-151204926:-	green
chr4:59605026-59610227:+	green
chr4:84192109-84192309:-	red
chr5:106335086-106336061:+	green
chr5:119043341-119043579:+	red
chr5:128748861-128749747:-	red
chr5:53239229-53241933:+	green
chr6:22093943-22095687:+	green
chr6:55410150-55411608:+	red
chr6:65809480-65810779:+	red
chr7:103884194-103886071:+	red
chr7:20282152-20282970:-	red
chr7:28093939-28095806:-	red
chr7:75148695-75149241:+	green
chr8:47891825-47893105:+	green
chr8:67358133-67358467:-	green
chr8:81584148-81585189:+	green
chr9:107593253-107595047:-	red
chr9:20695082-20695650:+	red
chr9:21840755-21841304:-	green
chr9:57376762-57379599:+	green
chr9:60696428-60697309:+	green
chr9:70323582-70324475:-	green
chrX:49781616-49782311:-	red
