from	to	color	mirbase
mmu-miR-3572-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-6381	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-679-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-6911-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-6918-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-6930-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-6960-3p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-6988-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-7006-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-7023-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-7024-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-7028-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-7029-3p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-7033-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-760-3p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-7647-3p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-7662-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-7684-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-8113	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-92a-2-5p	chr7:103884194-103886071:+	red	mmu_circ_0001594;mmu_circ_0001595
mmu-miR-185-3p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-185-3p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-185-3p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-3102-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-3475-3p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-453	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-466f-3p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-466i-3p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-467f	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-6368	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-669c-3p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-6914-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-6945-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-6945-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-6945-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-6963-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-6994-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-7012-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-702-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-7037-3p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-7046-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-7068-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-7085-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-763	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-8090	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-8119	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-8119	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-92a-2-5p	chr13:58960529-58962916:+	red	mmu_circ_0000468
mmu-miR-3090-5p	chr2:158208239-158208899:+	red	mmu_circ_0001100
mmu-miR-3113-5p	chr2:158208239-158208899:+	red	mmu_circ_0001100
mmu-miR-339-3p	chr2:158208239-158208899:+	red	mmu_circ_0001100
mmu-miR-7033-5p	chr2:158208239-158208899:+	red	mmu_circ_0001100
mmu-miR-1911-5p	chr10:13783638-13784227:+	red	mmu_circ_0000146;mmu_circ_0000147
mmu-miR-1947-3p	chr10:13783638-13784227:+	red	mmu_circ_0000146;mmu_circ_0000147
mmu-miR-1968-3p	chr10:13783638-13784227:+	red	mmu_circ_0000146;mmu_circ_0000147
mmu-miR-3473d	chr10:13783638-13784227:+	red	mmu_circ_0000146;mmu_circ_0000147
mmu-miR-6936-5p	chr10:13783638-13784227:+	red	mmu_circ_0000146;mmu_circ_0000147
mmu-miR-7035-3p	chr10:13783638-13784227:+	red	mmu_circ_0000146;mmu_circ_0000147
mmu-miR-7224-3p	chr10:13783638-13784227:+	red	mmu_circ_0000146;mmu_circ_0000147
mmu-miR-12179-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-12185-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-12188-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-1231-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-1249-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-139-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-1934-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-1946b	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-2861	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3057-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3058-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3064-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3065-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3067-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3072-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3073a-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3085-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3104-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-326-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-326-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-326-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-326-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-3552	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-491-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-497a-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-500-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-5107-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-5110	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-5120	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-5120	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-5120	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6342	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6361	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6369	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6909-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6923-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6930-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6945-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6948-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6953-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6954-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6968-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6971-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6972-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6976-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6981-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6982-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-6987-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7018-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7028-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7034-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7036b-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7044-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7051-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7067-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7068-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7071-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7080-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7220-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7225-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7226-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7665-3p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7686-5p	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-8104	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-9718	chr17:34869115-34871152:-	red	mmu_circ_0000742
mmu-miR-7007-5p	chr4:84192109-84192309:-	red	mmu_circ_0001225
mmu-miR-1247-3p	chr6:65809480-65810779:+	red	mmu_circ_0001478
mmu-miR-1943-5p	chr6:65809480-65810779:+	red	mmu_circ_0001478
mmu-miR-3547-5p	chr6:65809480-65810779:+	red	mmu_circ_0001478
mmu-miR-677-3p	chr6:65809480-65810779:+	red	mmu_circ_0001478
mmu-miR-6919-5p	chr6:65809480-65810779:+	red	mmu_circ_0001478
mmu-miR-6925-5p	chr6:65809480-65810779:+	red	mmu_circ_0001478
mmu-miR-7019-3p	chr6:65809480-65810779:+	red	mmu_circ_0001478
mmu-miR-7031-5p	chr6:65809480-65810779:+	red	mmu_circ_0001478
mmu-miR-742-3p	chr6:65809480-65810779:+	red	mmu_circ_0001478
mmu-miR-125a-5p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-143-5p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-1933-3p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-351-5p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-466f-5p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-6394	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-670-5p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-7031-5p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-7072-5p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-7218-5p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-7220-3p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-7222-3p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-760-5p	chr19:17669029-17670268:-	red	mmu_circ_0000936
mmu-miR-12181-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-12181-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-12181-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-12198-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-1224-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-1224-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-1224-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-1224-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-1249-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-146b-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-149-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-18a-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-1933-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-1946b	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-3064-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-3077-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-3097-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-30c-2-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-3102-5p.2-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-346-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-346-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-346-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-378d	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-6237	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-667-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-673-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-6918-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-6922-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-6926-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-6958-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-6965-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-698-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7000-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7001-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7014-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7016-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7018-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7018-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7023-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7029-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7036b-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7037-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7045-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7047-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7051-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7056-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-705	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7069-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7082-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7222-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7658-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7658-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7668-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7679-5p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-7682-3p	chr7:28093939-28095806:-	red	mmu_circ_0001551
mmu-miR-1931	chrX:49781616-49782311:-	red	mmu_circ_0001876
mmu-miR-6947-3p	chrX:49781616-49782311:-	red	mmu_circ_0001876
mmu-miR-7044-5p	chrX:49781616-49782311:-	red	mmu_circ_0001876
mmu-miR-7094b-2-5p	chrX:49781616-49782311:-	red	mmu_circ_0001876
mmu-miR-7226-5p	chrX:49781616-49782311:-	red	mmu_circ_0001876
mmu-miR-12187-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-1249-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-149-3p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-149-3p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-149-3p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-149-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-3057-3p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-3072-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-3103-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-3154	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-328-3p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-484	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-504-3p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-5134-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-5623-3p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-5627-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6337	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6337	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6337	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-681	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6923-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6937-3p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6943-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6947-3p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6955-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6965-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6965-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-6965-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-7010-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-7012-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
mmu-miR-7020-5p	chr6:55410150-55411608:+	red	mmu_circ_0001475
